user_detail_id,first_name,last_name,gender,age,username,password,email,phone_number,address
50,Galak,Wahyuni,M,87,wahyuni64,y$0_2Qr2xc,galak.wahyuni@yahoo.com,+62 (08) 197 4592,"Jl. Pacuan Kuda No. 2
Jayapura, Maluku 15819"
51,Lamar,Usamah,F,56,usamah251,!m64CP2i%(,lamar.usamah@hotmail.com,+62 (0733) 366 9480,"Jl. BKR No. 01
Pangkalpinang, Bali 90791"
52,Galak,Thamrin,M,37,thamrin74,+V8C0Tbi@v,galak.thamrin@yahoo.com,(0578) 838-1622,"Gang Moch. Ramdan No. 547
Bengkulu, SN 28202"
53,Yance,Wijaya,F,21,yance237,(qU+Xi^at6,yance.wijaya@gmail.com,811023937,"Jl. Laswi No. 222
Sawahlunto, GO 59220"
54,Mila,Iswahyudi,M,87,mila134,#48Y5&N)ow,mila.iswahyudi@gmail.com,+62 (0985) 501-2028,"Jalan Sukabumi No. 604
Salatiga, Aceh 95206"
55,Dodo,Narpati,M,55,dodo669,m21C6Tcz4@,dodo.narpati@hotmail.com,-7627,"Gg. Erlangga No. 73
Kotamobagu, SU 10273"
56,Aslijan,Iswahyudi,F,72,iswahyudi453,5BBnOt9e_@,aslijan.iswahyudi@gmail.com,-3645,"Jl. Cempaka No. 591
Depok, Maluku Utara 93161"
57,Cahyo,Padmasari,M,51,padmasari185,D98JC3On&c,cahyo.padmasari@hotmail.com,881360518,"Gg. Kiaracondong No. 1
Gorontalo, KI 80215"
58,Harsanto,Salahudin,F,77,harsanto537,#KBFB6Cc+0,harsanto.salahudin@gmail.com,+62 (013) 436 3289,"Gang Monginsidi No. 340
Tual, RI 30399"
59,Gara,Uwais,F,42,gara941,*0O0l4uK+3,gara.uwais@hotmail.com,+62 (038) 602-5154,"Gang Surapati No. 558
Pagaralam, SN 36495"
60,Opung,Suwarno,F,23,suwarno462,_C23$JCfMJ,opung.suwarno@hotmail.com,+62 (0859) 790 5294,"Gg. Kendalsari No. 581
Bima, Nusa Tenggara Timur 50253"
61,Mitra,Siregar,M,56,mitra635,%6TTscdWT7,mitra.siregar@hotmail.com,865394866,"Gg. Kutisari Selatan No. 1
Banjarbaru, Sulawesi Selatan 09160"
62,Wahyu,Yuniar,F,60,yuniar302,#V(5UEbFVr,wahyu.yuniar@hotmail.com,+62 (013) 251 5758,"Gang Pelajar Pejuang No. 25
Kota Administrasi Jakarta Selatan, PA 91749"
63,Kezia,Firmansyah,F,68,kezia182,R2PPNC7e_N,kezia.firmansyah@hotmail.com,+62 (0696) 046-4497,"Gg. Ahmad Yani No. 832
Manado, Jawa Barat 39001"
64,Cayadi,Pratiwi,M,57,cayadi824,U%37EmaThQ,cayadi.pratiwi@yahoo.com,(023) 009-5157,"Jl. Yos Sudarso No. 80
Purwokerto, KI 36604"
65,Bakijan,Siregar,M,51,bakijan222,U(j9xN5a$A,bakijan.siregar@hotmail.com,+62 (076) 178-7430,"Jl. Setiabudhi No. 543
Kendari, Sulawesi Tenggara 52565"
66,Kawaya,Wacana,F,18,kawaya652,@2MPfnIS#o,kawaya.wacana@hotmail.com,+62 (0113) 156 4073,"Gang Tebet Barat Dalam No. 2
Metro, KU 82517"
67,Bagas,Astuti,F,84,bagas111,jV67MRiw%_,bagas.astuti@gmail.com,-9766,"Gang Otto Iskandardinata No. 6
Ambon, Papua Barat 49599"
68,Yance,Winarsih,F,22,winarsih268,*z99kUiI&%,yance.winarsih@gmail.com,-9044,"Gang Jakarta No. 9
Bengkulu, Nusa Tenggara Barat 49246"
69,Gamblang,Puspasari,F,69,gamblang509,_0^hTH(9+g,gamblang.puspasari@yahoo.com,+62 (75) 841 8409,"Jalan Cikapayang No. 0
Bukittinggi, SB 88722"
70,Intan,Kurniawan,F,67,intan828,PY6sDBDx%l,intan.kurniawan@hotmail.com,+62 (016) 028-9698,"Jalan Kutai No. 24
Bima, MU 98631"
71,Bagiya,Novitasari,F,35,novitasari897,eZ56)MEi@N,bagiya.novitasari@gmail.com,+62 (59) 832-6344,"Gang Kiaracondong No. 7
Tanjungbalai, YO 74471"
72,Hana,Natsir,M,63,hana804,n#1Q&NZkMu,hana.natsir@hotmail.com,-1854,"Jalan Kiaracondong No. 879
Padang Sidempuan, Jawa Tengah 35972"
73,Catur,Hastuti,M,17,catur870,N7+CDfOW)W,catur.hastuti@hotmail.com,+62 (296) 256 0922,"Jl. Joyoboyo No. 961
Lubuklinggau, Nusa Tenggara Timur 31837"
74,Aditya,Wijaya,M,69,wijaya562,PZGWZamt(6,aditya.wijaya@yahoo.com,-9105,"Jl. W.R. Supratman No. 878
Kota Administrasi Jakarta Selatan, Kalimantan Barat 11075"
75,Eja,Usamah,F,37,eja127,zmr^5R)pO%,eja.usamah@yahoo.com,+62 (0652) 428-2370,"Gang Surapati No. 59
Medan, Sulawesi Utara 48732"
76,Raisa,Wastuti,F,76,wastuti842,S%4B$wqe14,raisa.wastuti@yahoo.com,+62 (0459) 737 6432,"Jalan Moch. Ramdan No. 42
Singkawang, JT 31390"
77,Kadir,Mayasari,M,22,kadir133,o4KODdSo#g,kadir.mayasari@hotmail.com,-9291,"Jl. Pacuan Kuda No. 28
Cirebon, BB 67790"
78,Hairyanto,Palastri,M,48,hairyanto449,+U4LSi4W8@,hairyanto.palastri@hotmail.com,+62 (0518) 716 0114,"Jalan Otto Iskandardinata No. 2
Prabumulih, Sulawesi Tenggara 24646"
79,Nalar,Nugroho,M,79,nugroho324,V#)3THwYPS,nalar.nugroho@hotmail.com,+62 (0385) 853 2477,"Jl. Ahmad Dahlan No. 5
Bitung, Sulawesi Tenggara 59739"
80,Yance,Wibisono,M,31,wibisono337,21R!P_v#*L,yance.wibisono@yahoo.com,+62 (046) 554 6411,"Jalan Sadang Serang No. 3
Manado, Sulawesi Selatan 80857"
81,Salman,Rahayu,F,39,rahayu315,0+4L0MBxTj,salman.rahayu@hotmail.com,+62 (004) 865 1127,"Jl. Yos Sudarso No. 08
Palangkaraya, JA 75150"
82,Jumadi,Irawan,M,61,irawan975,12qeXogz#E,jumadi.irawan@hotmail.com,(079) 102 2160,"Jalan Pelajar Pejuang No. 575
Tebingtinggi, KI 50340"
83,Sidiq,Hartati,M,66,hartati507,8y$lZKat$4,sidiq.hartati@yahoo.com,-5883,"Gg. Rajawali Timur No. 823
Magelang, JT 91281"
84,Puspa,Nugroho,M,27,puspa247,@RV4sQcbj3,puspa.nugroho@yahoo.com,(084) 845 3801,"Gang Kapten Muslihat No. 52
Probolinggo, Kepulauan Riau 47494"
85,Ade,Jailani,F,79,jailani673,4h_Xn#HU^A,ade.jailani@yahoo.com,-1337,"Jalan Abdul Muis No. 556
Surakarta, Jawa Barat 29495"
86,Makara,Siregar,F,20,siregar737,a2#6XuHxkv,makara.siregar@hotmail.com,+62 (081) 294 5324,"Gang H.J Maemunah No. 479
Pekalongan, ST 98498"
87,Amelia,Budiman,F,42,budiman551,BqT^8Hp!0f,amelia.budiman@gmail.com,089 087 5972,"Gang H.J Maemunah No. 608
Kotamobagu, ST 74185"
88,Raina,Maryati,M,67,raina911,_ZAkrm44$0,raina.maryati@hotmail.com,(0211) 017-5607,"Jl. Rajawali Timur No. 340
Samarinda, BE 00034"
89,Cemplunk,Samosir,M,28,cemplunk137,R4Uri1CcI#,cemplunk.samosir@hotmail.com,+62 (0432) 353-4464,"Jl. Dr. Djunjunan No. 2
Tarakan, Jawa Barat 43165"
90,Sabri,Wibowo,F,86,wibowo707,)7eFVfeFA7,sabri.wibowo@hotmail.com,(0475) 873 1839,"Jalan Pasirkoja No. 3
Binjai, KB 59245"
91,Kasiran,Salahudin,M,54,salahudin473,88!JqU&v#Q,kasiran.salahudin@gmail.com,+62 (31) 883 9606,"Gang PHH. Mustofa No. 9
Pekanbaru, Maluku 61630"
92,Najwa,Farida,M,39,najwa38,+Mc$o7Cdw),najwa.farida@yahoo.com,(068) 126 9370,"Jalan Sadang Serang No. 81
Serang, Bengkulu 72706"
93,Rafid,Hasanah,M,59,hasanah628,G_0aJih%Ns,rafid.hasanah@gmail.com,+62 (0573) 084-0209,"Gg. Pasteur No. 73
Tidore Kepulauan, Maluku Utara 34814"
94,Putri,Wacana,M,35,wacana491,n_2JzQSr9W,putri.wacana@yahoo.com,-2276,"Jalan Cikapayang No. 6
Kota Administrasi Jakarta Timur, KR 36985"
95,Dalimin,Mustofa,M,84,mustofa285,_0e1_Eoe$N,dalimin.mustofa@hotmail.com,+62 (053) 356-9904,"Jl. Indragiri No. 6
Bandung, Kalimantan Tengah 99942"
96,Jarwa,Dabukke,F,53,jarwa996,z1VUqINB)i,jarwa.dabukke@hotmail.com,+62 (0026) 947-9845,"Jl. Raya Setiabudhi No. 964
Parepare, KI 85733"
97,Asmianto,Lestari,M,56,asmianto200,MI71oYqRj$,asmianto.lestari@yahoo.com,(046) 001-0665,"Jl. Otto Iskandardinata No. 32
Bandar Lampung, Sumatera Utara 25393"
98,Leo,Saputra,F,56,leo632,xoBr0D@g*@,leo.saputra@gmail.com,+62 (072) 088-3755,"Jl. Rajiman No. 8
Kupang, AC 04760"
99,Wani,Suwarno,F,70,suwarno226,nWOBbxTe*4,wani.suwarno@gmail.com,-7195,"Jl. Rawamangun No. 372
Yogyakarta, BB 42779"
100,Gamani,Purwanti,F,52,purwanti454,_3Lmii+U)1,gamani.purwanti@hotmail.com,(0044) 706-4999,"Gang Pasirkoja No. 86
Tebingtinggi, Sulawesi Tenggara 17590"
101,Jamil,Haryanti,M,50,haryanti217,T*94Lz59I1,jamil.haryanti@gmail.com,(0429) 220-2920,"Jalan Pasir Koja No. 0
Madiun, JT 17098"
102,Tami,Wahyuni,M,80,wahyuni569,qNq3AwhB(S,tami.wahyuni@yahoo.com,086 216 5221,"Jalan Rajawali Timur No. 40
Samarinda, BA 38195"
103,Ella,Prayoga,M,80,prayoga245,%7Nmm@*O3q,ella.prayoga@hotmail.com,-7465,"Gg. BKR No. 164
Mataram, JK 35044"
104,Citra,Gunawan,M,46,citra956,(D4%Gl!PjR,citra.gunawan@yahoo.com,-10501,"Jl. Gegerkalong Hilir No. 1
Tarakan, Papua Barat 82649"
105,Darman,Permadi,M,78,permadi685,KyU%kJg%@5,darman.permadi@gmail.com,+62 (015) 643 4414,"Jalan M.H Thamrin No. 12
Cilegon, KI 19721"
106,Gaiman,Permadi,F,73,permadi242,6S90_5Wud^,gaiman.permadi@hotmail.com,(002) 941 8249,"Jalan Cikapayang No. 760
Kediri, SG 41664"
107,Yoga,Nurdiyanti,M,25,yoga154,u3P5AbYv)p,yoga.nurdiyanti@hotmail.com,840143256,"Jalan Pelajar Pejuang No. 84
Lubuklinggau, PA 72193"
108,Cahya,Siregar,F,23,siregar803,B^9e9cCXGe,cahya.siregar@hotmail.com,808299849,"Gang Dr. Djunjunan No. 047
Tangerang Selatan, Maluku Utara 67251"
109,Galar,Aryani,M,30,galar126,n_44RhGLpj,galar.aryani@yahoo.com,+62 (91) 354-6990,"Jalan K.H. Wahid Hasyim No. 925
Tasikmalaya, MU 00688"
110,Sakura,Suartini,F,55,suartini873,_0Z_OnMK#6,sakura.suartini@yahoo.com,+62 (0807) 132 0440,"Gang Tebet Barat Dalam No. 2
Bukittinggi, DKI Jakarta 35867"
111,Nasab,Uwais,F,75,nasab651,N9)Mnrqn+9,nasab.uwais@gmail.com,+62 (56) 397 6815,"Jl. Pacuan Kuda No. 2
Tangerang, JB 23913"
112,Jane,Adriansyah,F,84,jane658,FDRBK4a&(1,jane.adriansyah@yahoo.com,-7727,"Jl. KH Amin Jasuta No. 816
Bogor, Sulawesi Tenggara 41082"
113,Banawi,Samosir,F,82,banawi102,Y4@PKkwd+p,banawi.samosir@hotmail.com,+62 (065) 914-3048,"Gang Cikutra Timur No. 826
Kendari, RI 21216"
114,Edi,Saputra,F,70,edi795,e%!82IRt$F,edi.saputra@gmail.com,+62 (622) 790 6710,"Gg. M.H Thamrin No. 3
Meulaboh, Sulawesi Tenggara 06545"
115,Ami,Kusumo,M,84,ami659,Lb&1_SbISU,ami.kusumo@hotmail.com,-1928,"Gang Kutisari Selatan No. 269
Semarang, GO 29088"
116,Arsipatra,Siregar,F,66,arsipatra725,(qE3(Hgajs,arsipatra.siregar@hotmail.com,+62 (0472) 526 9066,"Gang HOS. Cokroaminoto No. 1
Bau-Bau, KS 70076"
117,Akarsana,Andriani,M,89,akarsana672,7zYZCPHl@m,akarsana.andriani@gmail.com,+62 (0381) 988 0222,"Jl. Ahmad Yani No. 171
Bekasi, KB 51780"
118,Jayeng,Firgantoro,M,48,jayeng64,G$0Q01qDeu,jayeng.firgantoro@yahoo.com,+62 (90) 340 4578,"Jl. PHH. Mustofa No. 9
Tanjungbalai, KT 49594"
119,Aisyah,Gunarto,F,77,gunarto798,&APgBb!oU6,aisyah.gunarto@yahoo.com,(0548) 596 7397,"Gg. PHH. Mustofa No. 5
Depok, MA 24197"
120,Kayun,Rahimah,F,72,kayun441,^8vMtYZbHn,kayun.rahimah@hotmail.com,(085) 596-5399,"Jalan Merdeka No. 950
Singkawang, Kepulauan Bangka Belitung 32028"
121,Tomi,Palastri,F,84,palastri749,u*3Ix#oy#C,tomi.palastri@hotmail.com,(055) 381-2523,"Gg. M.T Haryono No. 27
Tarakan, Lampung 42123"
122,Kariman,Uyainah,M,54,uyainah318,4JaESlMA@g,kariman.uyainah@hotmail.com,+62 (022) 051-7217,"Gang Rajawali Timur No. 813
Tidore Kepulauan, SS 13790"
123,Raihan,Manullang,M,55,manullang588,*Vt8BYu@zw,raihan.manullang@gmail.com,-6538,"Gang Asia Afrika No. 761
Prabumulih, Lampung 05372"
124,Dadap,Dabukke,F,21,dadap14,o++@%3Kp&X,dadap.dabukke@hotmail.com,+62 (79) 049-8925,"Jalan Moch. Ramdan No. 4
Padang Sidempuan, Maluku Utara 78178"
125,Karma,Permata,M,69,permata859,8p(5TsEedv,karma.permata@hotmail.com,(077) 975-0741,"Jalan Pacuan Kuda No. 6
Palembang, Kalimantan Tengah 98238"
126,Najam,Sirait,M,46,sirait335,%fqWGj2m$1,najam.sirait@hotmail.com,+62 (0107) 596 6481,"Gg. R.E Martadinata No. 50
Pekanbaru, JI 58621"
127,Maman,Kuswoyo,M,86,kuswoyo505,A7YDacRi^),maman.kuswoyo@hotmail.com,+62 (953) 775-6085,"Gg. Sukabumi No. 07
Bukittinggi, DI Yogyakarta 23116"
128,Cengkal,Zulaika,F,38,cengkal425,uU8%MrMf+q,cengkal.zulaika@yahoo.com,080 473 9733,"Gg. Monginsidi No. 59
Tanjungbalai, Banten 23444"
129,Okta,Natsir,M,79,okta821,VCk1GpE4D+,okta.natsir@yahoo.com,(027) 041-8962,"Jalan Cikapayang No. 0
Purwokerto, JT 03477"
130,Oman,Rajasa,F,69,oman556,_u6Z&8zdHy,oman.rajasa@yahoo.com,+62 (67) 746 0110,"Jalan Pasteur No. 8
Binjai, KT 97200"
131,Kayla,Suryatmi,M,16,kayla349,Z#6IINZ5Mj,kayla.suryatmi@hotmail.com,+62 (002) 396 0668,"Gg. Rajawali Timur No. 15
Tebingtinggi, Bali 41129"
132,Syahrini,Halim,M,27,syahrini558,zsdKP7Hp4@,syahrini.halim@yahoo.com,(017) 761 8587,"Gang Kebonjati No. 2
Langsa, Jawa Timur 48586"
133,Lembah,Hasanah,F,76,lembah15,7&p7AHZd*8,lembah.hasanah@yahoo.com,+62 (001) 874-2773,"Jl. Kapten Muslihat No. 196
Surabaya, Bali 41907"
134,Ratna,Hutasoit,M,27,hutasoit648,*jGY9Eoe4b,ratna.hutasoit@yahoo.com,-10093,"Gang Tubagus Ismail No. 8
Batam, KU 67270"
135,Uli,Tarihoran,F,79,tarihoran840,)$X6FeXrMn,uli.tarihoran@yahoo.com,082 491 7497,"Gang R.E Martadinata No. 2
Kota Administrasi Jakarta Pusat, BE 43412"
136,Zizi,Hidayanto,M,57,zizi509,t+y4)6Nn8(,zizi.hidayanto@gmail.com,+62 (0044) 821-3198,"Jalan Moch. Ramdan No. 173
Payakumbuh, Sumatera Utara 52401"
137,Najwa,Halimah,F,65,halimah759,^ZWtf1ew9@,najwa.halimah@yahoo.com,(050) 003-0549,"Jl. Waringin No. 828
Blitar, Papua Barat 96747"
138,Ganjaran,Hutagalung,F,18,ganjaran52,@9SWddX0^W,ganjaran.hutagalung@gmail.com,+62 (246) 541-4132,"Jalan Ahmad Yani No. 29
Bekasi, Sulawesi Tengah 52097"
139,Lulut,Pratama,M,63,pratama514,()6+RRmiu8,lulut.pratama@hotmail.com,-1832,"Jl. Jakarta No. 234
Salatiga, Lampung 42377"
140,Hasta,Hasanah,F,50,hasta770,$6BUg5O^4P,hasta.hasanah@hotmail.com,-1615,"Gang S. Parman No. 016
Bogor, Sulawesi Tengah 19629"
141,Hendri,Mahendra,M,78,mahendra454,g%82JMDv^%,hendri.mahendra@gmail.com,+62 (0987) 618-6326,"Jalan Jamika No. 32
Kota Administrasi Jakarta Barat, NT 64443"
142,Darmanto,Adriansyah,F,15,adriansyah1,^PrLvXsb56,darmanto.adriansyah@gmail.com,(050) 545-7284,"Jalan Moch. Toha No. 1
Payakumbuh, Sulawesi Barat 74939"
143,Paiman,Sitorus,F,84,sitorus790,^$F5vASa8H,paiman.sitorus@gmail.com,(028) 789-8078,"Jl. S. Parman No. 565
Sorong, BT 22721"
144,Embuh,Pangestu,F,52,embuh371,PNYTt7FlN),embuh.pangestu@hotmail.com,-2693,"Jl. Pasir Koja No. 130
Palu, Nusa Tenggara Barat 07778"
145,Unggul,Nashiruddin,M,44,unggul204,#XP4udaY0h,unggul.nashiruddin@yahoo.com,+62 (25) 200 7422,"Jl. K.H. Wahid Hasyim No. 2
Solok, KT 58820"
146,Gawati,Ardianto,M,73,gawati912,+0oCUctgJK,gawati.ardianto@hotmail.com,+62 (0688) 960-4010,"Jl. Stasiun Wonokromo No. 370
Pontianak, Lampung 57346"
147,Cici,Nasyidah,F,66,nasyidah508,eRBKdzL9)0,cici.nasyidah@hotmail.com,-7662,"Jalan Medokan Ayu No. 12
Yogyakarta, Kalimantan Tengah 60620"
148,Uli,Novitasari,M,72,novitasari773,*a&61Su(Y@,uli.novitasari@gmail.com,+62 (38) 435 5119,"Gg. Merdeka No. 493
Padangpanjang, Sumatera Barat 91265"
149,Kasim,Tamba,M,42,tamba154,_S3O5WskT),kasim.tamba@yahoo.com,(0013) 494-3190,"Jl. Ahmad Dahlan No. 462
Tanjungpinang, Maluku 34883"
150,Keisha,Lazuardi,M,63,lazuardi476,v0TOV9P9+i,keisha.lazuardi@gmail.com,+62 (094) 258 2583,"Jalan Sukajadi No. 590
Langsa, JT 85760"
151,Enteng,Marbun,M,68,marbun927,jg3TOcti#%,enteng.marbun@yahoo.com,851346295,"Gg. Ahmad Yani No. 6
Langsa, Riau 55332"
152,Prayogo,Suwarno,F,78,suwarno337,h4fat&Ev#A,prayogo.suwarno@hotmail.com,(0414) 443-3357,"Gg. Kutisari Selatan No. 443
Lubuklinggau, Lampung 26800"
